symbol,time,open,high,low,close,volume
ETH-EUR,2024-01-17T16:25:00,2340.72,2341.69,2339.94,2340.72,11.52635211
ETH-EUR,2024-01-17T16:24:00,2342.02,2342.93,2340.32,2340.72,13.00020513
ETH-EUR,2024-01-17T16:23:00,2339.64,2341.37,2339.64,2341.21,0.84085942
ETH-EUR,2024-01-17T16:22:00,2333.66,2338.62,2333.66,2338.62,0.0693271
ETH-EUR,2024-01-17T16:21:00,2334.96,2337.45,2333.94,2333.94,8.11156375
ETH-EUR,2024-01-17T16:20:00,2334.14,2336.13,2333.27,2335.94,1.55474263
ETH-EUR,2024-01-17T16:19:00,2333.46,2335.27,2332.89,2334.22,7.61158117
ETH-EUR,2024-01-17T16:18:00,2338.48,2338.48,2334.5,2334.5,1.04421929
ETH-EUR,2024-01-17T16:17:00,2338.49,2338.49,2337.7,2338.36,1.05975474
ETH-EUR,2024-01-17T16:16:00,2336.63,2336.92,2335.95,2336.03,0.51581065
ETH-EUR,2024-01-17T16:15:00,2339.6,2339.6,2338.49,2338.49,0.09891044
ETH-EUR,2024-01-17T16:14:00,2338.2,2340.28,2338.17,2339.78,2.7187124
ETH-EUR,2024-01-17T16:13:00,2338.49,2339.07,2338.09,2338.09,0.27842636
ETH-EUR,2024-01-17T16:12:00,2337.51,2338.42,2336.79,2337.86,2.78322837
ETH-EUR,2024-01-17T16:11:00,2337.94,2339.64,2337.19,2337.19,0.6907562
ETH-EUR,2024-01-17T16:10:00,2339.99,2340.02,2338.82,2338.83,0.66638273
ETH-EUR,2024-01-17T16:09:00,2338.78,2340.63,2337.9,2338.7,5.14456762
ETH-EUR,2024-01-17T16:08:00,2338.22,2339.52,2337.17,2338.78,3.86476609
ETH-EUR,2024-01-17T16:07:00,2338.74,2338.96,2338.04,2338.96,4.23840512
ETH-EUR,2024-01-17T16:06:00,2338.87,2338.87,2336.76,2338.7,1.97388976
ETH-EUR,2024-01-17T16:05:00,2339.25,2339.31,2338.16,2338.41,1.46310406
ETH-EUR,2024-01-17T16:04:00,2340.98,2340.98,2339.25,2339.25,0.35014234
ETH-EUR,2024-01-17T16:03:00,2341.19,2341.74,2338.5,2338.5,8.46909158
ETH-EUR,2024-01-17T16:02:00,2338.68,2342.32,2338.68,2340.77,7.36696994
ETH-EUR,2024-01-17T16:01:00,2340.4,2340.82,2337.86,2338.49,11.89396615
ETH-EUR,2024-01-17T16:00:00,2340.1,2341.9,2338.9,2340.54,17.25397459
ETH-EUR,2024-01-18T02:00:00,2314.08,2314.76,2313.73,2314.76,2.09421757
ETH-EUR,2024-01-18T01:59:00,2314.08,2314.3,2312.9,2314.3,0.44402235
ETH-EUR,2024-01-18T01:57:00,2312.07,2312.36,2312.06,2312.36,9.9918707
ETH-EUR,2024-01-18T01:56:00,2312.5,2313.0,2312.36,2312.7,4.27289201
ETH-EUR,2024-01-18T01:55:00,2312.45,2312.45,2312.05,2312.05,0.06102393
ETH-EUR,2024-01-18T01:52:00,2311.18,2312.18,2311.18,2312.18,1.9839587
ETH-EUR,2024-01-18T01:51:00,2310.82,2310.82,2310.8,2310.8,4.04601942
ETH-EUR,2024-01-18T01:48:00,2310.16,2310.16,2310.16,2310.16,0.05734679
ETH-EUR,2024-01-18T01:47:00,2309.0,2309.3,2308.88,2309.05,0.04951945
ETH-EUR,2024-01-18T01:45:00,2307.23,2309.64,2307.23,2309.52,1.92016451
ETH-EUR,2024-01-18T01:44:00,2307.81,2308.4,2307.22,2307.33,9.28741785
ETH-EUR,2024-01-18T01:43:00,2305.85,2307.7,2305.85,2307.7,0.45094808
ETH-EUR,2024-01-18T01:41:00,2307.02,2308.09,2306.73,2306.73,2.06312563
ETH-EUR,2024-01-18T01:40:00,2306.81,2307.19,2306.45,2306.75,4.02155663
ETH-EUR,2024-01-18T01:39:00,2306.32,2306.59,2305.5,2306.59,9.52570487
ETH-EUR,2024-01-18T01:38:00,2303.03,2306.87,2303.03,2306.54,9.43881736
ETH-EUR,2024-01-18T01:37:00,2305.11,2305.11,2303.23,2303.23,5.97561842
ETH-EUR,2024-01-18T01:36:00,2305.89,2305.9,2302.1,2303.25,6.80339847
ETH-EUR,2024-01-18T01:35:00,2309.14,2309.63,2308.5,2308.84,2.80891504
ETH-EUR,2024-01-18T01:34:00,2308.59,2310.25,2307.99,2309.79,7.23925624
ETH-EUR,2024-01-18T01:33:00,2313.4,2313.4,2309.57,2309.57,0.5513303
ETH-EUR,2024-01-18T01:32:00,2314.39,2314.39,2313.42,2313.46,0.71969995
